Date,Wind,Rain,MaxTemp,MinTemp
1974-05-03,14.54,7.1,11.7,5.9
1974-05-04,12.92,0.0,9.2,7.4
1974-05-05,10.29,0.0,11.4,7.0
1974-05-06,5.91,0.0,12.0,2.7
1974-05-07,6.58,0.4,13.3,1.2
1974-05-08,13.0,2.9,12.5,8.0
1974-05-09,18.58,13.8,10.3,6.9
1974-05-10,13.54,1.3,11.4,7.0
1974-05-11,5.58,1.0,14.1,4.0
1974-05-12,17.5,6.1,12.2,9.0
1974-05-13,12.92,0.7,15.0,9.5
1974-05-14,9.13,0.0,16.6,4.9
1974-05-15,10.79,0.0,17.4,10.1
1974-05-16,7.54,2.2,13.0,11.0
1974-05-17,8.92,14.3,13.7,8.2
1974-05-18,2.67,3.9,15.0,10.5
1974-05-19,5.91,0.0,17.8,5.4
1974-05-20,9.96,0.1,18.5,11.3
1974-05-21,8.58,1.0,18.0,10.2
1974-05-22,14.62,4.3,14.8,8.5
1974-05-23,14.92,0.0,14.3,8.6
1974-05-24,11.38,0.0,14.6,9.0
1974-05-25,1.58,0.0,15.1,8.8
1974-05-26,2.37,0.0,14.6,7.5
1974-05-27,6.17,0.0,16.6,9.6
1974-05-28,12.58,0.1,15.6,9.7
1974-05-29,6.46,0.0,14.1,3.8
1974-05-30,6.71,1.6,14.0,5.6
1974-05-31,6.04,0.0,17.0,10.0
1974-06-01,9.33,0.0,18.2,12.5
1974-06-02,12.04,0.0,16.6,11.2
1974-06-03,9.21,0.0,15.2,6.4
1974-06-04,5.63,2.4,14.1,9.5
1974-06-05,11.75,4.1,15.6,9.4
1974-06-06,17.5,1.3,13.5,6.0
1974-06-07,10.21,0.1,15.0,6.0
1974-06-08,7.21,6.7,14.6,7.5
1974-06-09,10.34,7.2,12.5,7.5
1974-06-10,11.38,0.0,15.5,5.0
1974-06-11,14.12,0.0,21.2,8.5
1974-06-12,3.42,0.0,17.3,13.4
1974-06-13,5.33,0.0,18.4,8.4
1974-06-14,4.25,0.0,19.1,7.2
1974-06-15,3.29,0.0,18.8,9.1
1974-06-16,2.37,6.5,17.2,9.2
1974-06-17,6.17,1.2,16.0,12.4
1974-06-18,7.46,0.3,15.0,9.7
1974-06-19,5.75,0.2,18.0,12.0
1974-06-20,7.38,0.0,19.4,12.3
1974-06-21,6.08,0.0,23.2,10.8
1974-06-22,11.54,0.0,17.5,12.0
1974-06-23,8.5,0.0,17.3,12.2
1974-06-24,6.87,0.0,17.6,12.7
1974-06-25,8.42,0.0,15.9,11.3
1974-06-26,11.38,0.0,14.9,12.0
1974-06-27,10.29,0.0,14.9,11.3
1974-06-28,4.17,0.0,15.6,10.6
1974-06-29,3.17,0.9,16.8,8.6
1974-06-30,5.25,3.2,19.4,8.6
1974-07-01,12.96,1.9,18.9,10.7
1974-07-02,7.58,9.3,13.7,8.5
1974-07-03,11.12,8.5,17.5,7.2
1974-07-04,8.21,10.2,17.0,11.6
1974-07-05,12.42,0.1,18.1,13.2
1974-07-06,7.41,0.0,18.6,8.5
1974-07-07,7.0,0.0,20.7,14.5
1974-07-08,7.96,0.3,20.7,15.2
1974-07-09,10.41,7.0,20.1,11.8
1974-07-10,11.54,0.3,21.3,13.3
1974-07-11,10.67,1.1,19.7,10.4
1974-07-12,8.5,1.6,19.2,10.2
1974-07-13,5.91,13.1,16.6,10.0
1974-07-14,7.62,8.3,16.2,8.5
1974-07-15,12.5,4.2,19.5,12.0
1974-07-16,11.17,0.0,16.5,12.6
1974-07-17,7.12,0.2,18.3,9.0
1974-07-18,7.5,0.0,20.0,8.6
1974-07-19,13.17,0.0,20.6,13.5
1974-07-20,11.71,0.0,21.5,14.5
1974-07-21,16.29,0.0,22.2,12.0
1974-07-22,17.29,0.8,19.6,15.0
1974-07-23,10.08,0.0,17.6,10.0
1974-07-24,8.58,0.0,18.3,12.0
1974-07-25,7.87,1.0,18.1,8.1
1974-07-26,6.79,0.1,17.8,11.4
1974-07-27,10.63,0.2,18.7,13.9
1974-07-28,11.29,0.0,18.8,10.2
1974-07-29,8.5,9.0,19.5,12.5
1974-07-30,6.0,15.4,21.6,11.9
1974-07-31,3.13,8.5,16.7,13.5
1974-08-01,5.96,0.0,18.0,9.5
1974-08-02,6.83,0.0,17.8,9.1
1974-08-03,2.5,0.0,18.0,12.0
1974-08-04,3.79,0.0,18.3,8.5
1974-08-05,4.17,1.6,21.5,7.7
1974-08-06,5.29,1.3,19.5,14.5
1974-08-07,7.12,1.7,20.2,14.5
1974-08-08,5.71,0.2,18.6,13.3
1974-08-09,7.62,3.6,16.6,11.5
1974-08-10,11.38,0.6,19.1,10.9
1974-08-11,7.0,2.7,18.2,8.9
1974-08-12,10.63,0.0,19.0,12.8
1974-08-13,4.79,0.2,17.5,10.0
1974-08-14,10.25,0.2,21.0,11.0
1974-08-15,14.25,0.0,22.1,14.0
1974-08-16,10.96,1.1,19.4,13.8
1974-08-17,5.88,1.2,18.5,9.5
1974-08-18,5.46,0.0,17.5,9.5
1974-08-19,4.54,0.0,18.0,6.0
1974-08-20,8.87,0.0,20.4,12.1
1974-08-21,7.83,0.0,19.2,14.9
1974-08-22,4.92,1.2,17.9,14.0
1974-08-23,9.59,0.4,22.4,14.8
1974-08-24,10.04,2.1,20.6,12.2
1974-08-25,10.54,1.6,19.2,14.0
1974-08-26,6.67,9.0,15.6,9.0
1974-08-27,8.5,0.4,17.5,6.5
1974-08-28,7.71,1.4,17.0,11.5
1974-08-29,7.46,0.0,17.5,12.0
1974-08-30,7.46,0.0,16.4,12.9
1974-08-31,3.33,5.3,14.2,12.5
1974-09-01,4.42,8.8,15.6,11.6
1974-09-02,12.92,31.0,13.9,7.6
1974-09-03,10.54,0.2,17.6,10.0
1974-09-04,12.79,2.1,15.8,11.3
1974-09-05,8.04,2.5,15.6,10.0
1974-09-06,8.29,7.4,16.8,9.2
1974-09-07,16.21,4.3,14.4,11.2
1974-09-08,10.88,1.2,17.0,10.1
1974-09-09,6.92,0.7,18.0,9.9
1974-09-10,8.0,0.8,18.0,11.0
1974-09-11,9.13,36.0,15.4,12.2
1974-09-12,9.42,1.5,16.0,12.9
1974-09-13,10.37,0.3,17.7,14.1
1974-09-14,5.46,4.8,15.0,8.5
1974-09-15,2.79,0.1,16.8,11.0
1974-09-16,6.13,1.0,17.7,11.0
1974-09-17,7.67,0.0,15.3,11.6
1974-09-18,4.58,0.0,15.7,4.2
1974-09-19,9.5,0.0,16.4,7.4
1974-09-20,9.67,0.4,15.2,8.4
1974-09-21,13.37,1.5,14.2,8.0
1974-09-22,12.21,2.9,16.6,7.5
1974-09-23,11.17,10.1,14.3,9.0
1974-09-24,10.25,2.2,12.5,6.0
1974-09-25,13.0,0.2,12.8,6.0
1974-09-26,8.04,0.0,10.9,4.5
1974-09-27,6.46,0.1,10.7,5.5
1974-09-28,8.38,0.3,11.0,2.6
1974-09-29,7.83,0.0,11.5,4.2
1974-09-30,7.46,0.4,13.5,2.1
1974-10-01,6.79,3.3,11.3,2.1
1974-10-02,13.92,1.6,11.2,6.0
1974-10-03,9.92,0.2,12.4,5.2
1974-10-04,10.17,0.0,12.0,5.2
1974-10-05,9.62,4.0,12.2,6.3
1974-10-06,13.29,1.0,10.6,5.9
1974-10-07,12.67,0.8,12.0,4.5
1974-10-08,9.33,0.0,13.6,6.7
1974-10-09,8.38,0.1,12.4,4.4
1974-10-10,10.0,0.0,12.5,4.0
1974-10-11,9.75,0.4,11.0,4.6
1974-10-12,8.33,0.3,11.2,3.8
1974-10-13,8.17,1.9,11.4,8.5
1974-10-14,4.0,0.2,12.2,8.5
1974-10-15,3.37,0.0,12.6,9.0
1974-10-16,5.41,0.0,10.8,7.7
1974-10-17,7.87,4.1,13.8,7.4
1974-10-18,14.37,2.1,12.6,7.5
1974-10-19,11.71,3.4,8.7,4.4
1974-10-20,15.59,0.4,9.3,4.1
1974-10-21,11.87,0.0,9.8,3.4
1974-10-22,10.96,0.0,10.6,2.5
1974-10-23,8.87,0.0,11.0,4.0
1974-10-24,10.79,0.1,10.8,4.3
1974-10-25,13.67,0.4,11.4,7.5
1974-10-26,15.59,0.2,13.1,8.0
1974-10-27,22.29,0.0,10.0,8.5
1974-10-28,15.92,0.0,7.8,4.3
1974-10-29,13.13,0.0,8.0,3.9
1974-10-30,11.42,0.2,11.0,1.8
1974-10-31,8.54,0.6,12.4,5.5
1974-11-01,6.92,0.6,12.4,7.2
1974-11-02,9.21,0.6,12.3,9.9
1974-11-03,12.71,4.0,7.3,4.0
1974-11-04,5.96,0.0,10.2,1.6
1974-11-05,6.79,4.8,10.1,0.1
1974-11-06,5.41,0.4,10.7,4.3
1974-11-07,5.33,0.7,12.6,8.0
1974-11-08,11.21,1.4,13.5,8.0
1974-11-09,20.04,0.0,12.6,8.6
1974-11-10,19.25,5.1,11.2,4.5
1974-11-11,20.21,0.7,8.6,4.5
1974-11-12,11.75,0.8,10.3,1.8
1974-11-13,12.79,1.9,11.8,3.7
1974-11-14,19.08,0.1,10.2,8.0
1974-11-15,10.63,0.0,9.7,6.1
1974-11-16,9.62,0.0,8.6,-2.9
1974-11-17,5.88,0.0,9.3,-2.0
1974-11-18,8.25,0.0,4.1,-1.5
1974-11-19,4.71,0.0,6.8,-0.9
1974-11-20,14.29,0.0,7.5,-1.0
1974-11-21,9.25,0.2,8.2,4.4
1974-11-22,4.83,7.8,8.0,2.4
1974-11-23,9.71,13.2,9.5,2.2
1974-11-24,18.0,0.1,9.6,2.5
1974-11-25,17.79,0.0,7.7,3.2
1974-11-26,6.96,0.0,9.0,3.9
1974-11-27,22.5,2.8,9.3,3.7
1974-11-28,20.67,0.0,8.2,3.4
1974-11-29,9.96,2.9,10.4,1.9
1974-11-30,13.29,0.1,12.7,4.0
1974-12-01,14.62,0.2,13.6,7.0
1974-12-02,9.87,0.0,12.3,11.5
1974-12-03,12.04,0.0,13.8,7.4
1974-12-04,17.41,0.3,8.5,6.1
1974-12-05,15.75,0.0,9.5,5.3
1974-12-06,17.04,0.0,12.0,6.0
1974-12-07,21.67,0.2,12.0,6.7
1974-12-08,14.92,0.0,12.0,11.0
1974-12-09,17.46,5.2,6.7,3.5
1974-12-10,20.21,2.2,7.0,1.7
1974-12-11,13.75,2.7,10.0,2.2
1974-12-12,17.58,1.1,10.7,1.8
1974-12-13,13.13,1.0,10.1,8.2
1974-12-14,14.88,0.0,8.5,6.3
1974-12-15,10.58,1.4,10.2,3.9
1974-12-16,20.79,1.5,8.4,4.6
1974-12-17,25.46,0.2,6.1,3.0
1974-12-18,16.66,0.4,10.2,2.5
1974-12-19,18.63,0.1,12.0,2.0
1974-12-20,17.46,0.0,13.7,8.5
1974-12-21,16.25,0.4,13.0,12.0
1974-12-22,15.21,0.0,13.9,9.3
1974-12-23,17.75,0.7,12.1,10.0
1974-12-24,11.12,0.1,13.6,4.2
1974-12-25,17.83,3.3,13.8,4.0
1974-12-26,19.5,4.1,11.8,9.5
1974-12-27,20.5,2.1,14.1,7.5
1974-12-28,25.33,4.6,13.7,8.4
1974-12-29,14.96,0.1,8.4,7.4
1974-12-30,11.08,0.2,13.0,-0.1
1974-12-31,15.25,0.0,13.0,4.5
1975-01-01,8.12,0.1,10.1,7.5
1975-01-02,8.58,0.1,10.0,7.0
1975-01-03,9.96,0.0,8.0,6.0
1975-01-04,16.38,0.0,11.7,5.0
1975-01-05,21.59,0.2,11.2,7.0
1975-01-06,19.12,7.3,10.7,9.0
1975-01-07,10.88,4.6,9.6,5.5
1975-01-08,10.63,0.0,10.0,6.3
1975-01-09,14.25,0.0,10.7,9.0
1975-01-10,11.83,0.4,11.3,7.5
1975-01-11,17.41,0.7,12.5,9.0
1975-01-12,15.79,0.3,8.5,7.2
1975-01-13,19.62,6.7,13.0,4.6
1975-01-14,13.96,4.8,10.8,4.2
1975-01-15,10.83,5.0,11.2,4.2
1975-01-16,5.88,0.1,7.0,1.6
1975-01-17,9.62,0.0,6.4,2.1
1975-01-18,7.25,0.2,5.5,-1.5
1975-01-19,12.12,4.2,11.0,-2.5
1975-01-20,16.79,1.0,6.1,3.1
1975-01-21,14.42,4.3,10.8,3.0
1975-01-22,20.91,6.5,10.8,3.2
1975-01-23,19.5,0.5,6.2,2.0
1975-01-24,10.92,16.1,9.2,3.5
1975-01-25,13.17,0.2,8.8,4.0
1975-01-26,10.25,5.2,10.2,1.0
1975-01-27,6.67,7.1,9.4,5.2
1975-01-28,14.75,0.0,9.4,0.0
1975-01-29,7.87,3.5,12.5,2.5
1975-01-30,14.92,1.1,11.8,5.0
1975-01-31,14.58,0.0,11.5,6.0
1975-02-01,9.62,0.0,12.5,6.0
1975-02-02,4.42,0.0,11.2,1.0
1975-02-03,6.08,0.0,8.9,2.6
1975-02-04,4.12,0.0,6.6,-0.5
1975-02-05,8.12,0.0,5.7,0.5
1975-02-06,8.46,0.0,6.9,3.6
1975-02-07,8.58,7.3,7.9,0.5
1975-02-08,7.54,0.0,8.0,5.2
1975-02-09,5.21,0.0,8.3,5.1
1975-02-10,7.0,0.0,9.0,1.5
1975-02-11,5.66,0.0,7.5,4.5
1975-02-12,4.67,1.8,7.0,6.0
1975-02-13,9.79,1.1,7.0,3.6
1975-02-14,4.21,0.0,7.0,2.5
1975-02-15,6.96,1.0,10.0,-1.0
1975-02-16,12.38,0.6,12.2,2.0
1975-02-17,14.0,0.0,10.0,9.0
1975-02-18,4.0,0.0,9.3,3.1
1975-02-19,10.63,1.4,9.1,-2.5
1975-02-20,6.0,5.3,9.1,5.0
1975-02-21,5.21,0.0,10.6,6.4
1975-02-22,7.92,0.2,10.6,1.7
1975-02-23,6.96,0.3,11.3,7.6
1975-02-24,6.34,0.0,13.0,8.0
1975-02-25,9.21,0.0,9.4,6.3
1975-02-26,9.25,0.0,8.0,5.2
1975-02-27,7.87,0.0,8.5,3.5
1975-02-28,7.92,1.5,9.4,-0.4
1975-03-01,10.13,1.4,10.0,5.0
1975-03-02,10.0,6.7,11.8,5.0
1975-03-03,7.38,0.9,13.0,6.5
1975-03-04,1.63,0.0,10.4,2.2
1975-03-05,4.88,0.0,11.7,1.2
1975-03-06,14.46,2.5,13.8,3.5
1975-03-07,14.0,0.8,10.4,5.5
1975-03-08,5.33,0.0,10.5,3.6
1975-03-09,10.08,1.4,8.5,-0.4
1975-03-10,12.96,3.2,9.0,0.4
1975-03-11,19.29,2.9,7.0,3.7
1975-03-12,10.75,1.8,6.5,5.5
1975-03-13,7.62,0.0,7.0,4.8
1975-03-14,6.46,0.8,6.0,1.1
1975-03-15,7.83,2.8,8.5,2.0
1975-03-16,5.58,2.6,5.1,2.7
1975-03-17,7.79,0.0,7.0,1.7
1975-03-18,10.5,0.0,6.3,4.2
1975-03-19,9.62,0.0,6.5,2.3
1975-03-20,8.71,0.0,8.9,2.1
1975-03-21,11.12,2.3,8.3,2.0
1975-03-22,10.92,0.0,10.2,2.5
1975-03-23,10.63,0.2,10.2,3.0
1975-03-24,11.67,0.0,10.1,5.2
1975-03-25,10.88,2.1,12.0,5.6
1975-03-26,7.33,1.3,4.8,3.1
1975-03-27,10.17,1.9,5.0,-0.6
1975-03-28,9.42,1.2,6.3,-2.1
1975-03-29,9.62,0.5,7.1,1.0
1975-03-30,8.58,0.0,7.7,2.9
1975-03-31,9.46,0.0,11.4,2.9
1975-04-01,11.71,5.7,10.8,3.3
1975-04-02,10.75,1.5,9.8,5.9
1975-04-03,11.79,2.0,8.7,1.0
1975-04-04,9.79,0.7,7.6,1.4
1975-04-05,7.0,0.0,6.1,2.1
1975-04-06,8.33,0.5,8.9,2.5
1975-04-07,17.71,0.0,10.0,4.9
1975-04-08,15.92,0.0,6.2,0.1
1975-04-09,10.54,1.2,7.6,-1.2
1975-04-10,11.79,0.0,11.0,1.3
1975-04-11,12.83,0.8,11.7,5.1
1975-04-12,10.29,0.1,13.7,8.2
1975-04-13,9.08,1.7,15.4,10.4
1975-04-14,10.0,3.8,13.2,8.5
1975-04-15,4.46,0.0,14.4,7.2
1975-04-16,5.54,2.0,14.5,5.9
1975-04-17,8.38,0.0,16.2,9.6
1975-04-18,6.79,0.0,13.9,3.1
1975-04-19,9.79,0.3,12.7,4.2
1975-04-20,11.38,5.4,14.0,6.2
1975-04-21,4.67,2.0,15.4,10.0
1975-04-22,4.04,0.0,15.0,10.6
1975-04-23,2.54,0.0,15.1,8.0
1975-04-24,1.21,0.0,16.9,6.2
1975-04-25,1.87,0.0,18.3,7.1
1975-04-26,3.08,9.8,17.1,9.5
1975-04-27,4.83,0.0,11.9,6.2
1975-04-28,7.21,4.6,11.3,3.4
1975-04-29,12.96,1.0,10.0,4.9
1975-04-30,10.41,9.6,12.2,2.9
1975-05-01,13.88,3.0,12.4,7.2
1975-05-02,4.38,7.9,9.6,6.9
1975-05-03,2.54,0.0,13.7,2.6
1975-05-04,0.92,0.0,14.2,3.6
1975-05-05,5.63,0.0,12.2,6.4
1975-05-06,6.96,0.0,13.5,7.2
1975-05-07,12.04,0.0,15.9,6.6
1975-05-08,11.08,4.2,10.9,10.0
1975-05-09,7.41,16.8,10.8,7.1
1975-05-10,9.54,0.0,10.9,7.2
1975-05-11,5.33,2.8,13.0,3.3
1975-05-12,7.33,0.5,13.6,8.2
1975-05-13,2.13,2.0,15.7,8.7
1975-05-14,6.21,0.7,10.7,8.1
1975-05-15,7.87,0.0,12.4,6.6
1975-05-16,3.13,0.0,13.3,2.1
1975-05-17,2.21,0.0,14.9,2.8
1975-05-18,3.92,0.0,16.7,1.4
1975-05-19,4.04,0.0,17.2,6.0
1975-05-20,2.54,0.0,19.6,6.8
1975-05-21,3.71,0.0,16.6,6.1
1975-05-22,6.21,0.0,12.9,3.6
1975-05-23,5.88,0.0,14.4,2.7
1975-05-24,5.71,0.0,12.2,3.5
1975-05-25,7.96,0.0,12.9,2.6
1975-05-26,9.62,0.0,15.1,9.2
1975-05-27,9.92,0.0,15.2,7.2
1975-05-28,6.87,0.0,15.6,7.9
1975-05-29,3.92,0.0,14.9,3.6
1975-05-30,5.33,0.0,12.2,9.3
1975-05-31,3.0,0.0,13.4,1.6
1975-06-01,8.38,2.1,13.0,2.8
1975-06-02,17.21,0.4,12.0,4.1
1975-06-03,5.91,2.2,14.6,3.2
1975-06-04,3.75,1.0,18.3,4.4
1975-06-05,9.13,0.0,20.7,9.2
1975-06-06,7.46,0.0,21.7,12.8
1975-06-07,2.88,0.0,21.2,14.6
1975-06-08,3.92,0.0,21.7,10.2
1975-06-09,4.58,0.0,21.1,10.4
1975-06-10,1.58,0.0,22.5,10.1
1975-06-11,1.58,0.0,24.0,10.6
1975-06-12,3.75,0.0,19.4,13.1
1975-06-13,7.58,0.0,20.3,10.2
1975-06-14,9.0,0.0,17.9,13.5
1975-06-15,5.63,2.2,15.8,8.2
1975-06-16,3.33,5.0,15.6,7.7
1975-06-17,4.42,0.0,18.1,8.4
1975-06-18,10.46,0.0,19.9,12.2
1975-06-19,11.71,0.0,22.2,14.4
1975-06-20,4.42,0.0,18.9,15.6
1975-06-21,3.54,0.0,20.3,11.3
1975-06-22,2.5,0.0,20.2,9.9
1975-06-23,6.04,0.0,23.2,12.7
1975-06-24,4.08,0.0,19.2,14.0
1975-06-25,1.79,0.6,19.6,10.9
1975-06-26,5.46,0.0,18.1,12.8
1975-06-27,6.87,0.0,17.8,7.6
1975-06-28,6.04,0.0,17.1,10.2
1975-06-29,1.83,0.0,18.7,6.7
1975-06-30,1.63,0.0,21.7,11.0
1975-07-01,2.92,0.0,22.5,11.3
1975-07-02,4.79,0.0,23.5,10.6
1975-07-03,3.96,0.0,23.8,10.2
1975-07-04,4.12,0.0,21.2,12.7
1975-07-05,4.71,0.0,21.1,12.1
1975-07-06,4.63,0.0,22.2,11.0
1975-07-07,8.5,0.5,19.0,13.9
1975-07-08,8.67,0.5,18.0,13.9
1975-07-09,8.29,9.7,20.1,13.7
1975-07-10,6.67,1.8,21.3,14.6
1975-07-11,9.13,0.0,21.1,15.7
1975-07-12,5.96,1.0,20.2,12.2
1975-07-13,6.58,0.1,23.6,14.8
1975-07-14,10.71,1.0,23.1,16.8
1975-07-15,14.37,0.6,22.0,13.7
1975-07-16,7.58,0.0,22.6,14.3
1975-07-17,2.79,0.0,19.5,14.5
1975-07-18,5.21,0.9,20.3,13.0
1975-07-19,8.54,0.9,23.0,15.4
1975-07-20,9.79,0.0,21.6,14.3
1975-07-21,13.79,0.0,18.8,12.6
1975-07-22,17.29,6.1,17.8,15.4
1975-07-23,14.62,0.7,17.3,11.3
1975-07-24,13.75,0.8,17.5,9.9
1975-07-25,9.59,0.0,19.5,12.0
1975-07-26,9.46,0.0,23.5,14.6
1975-07-27,4.08,0.0,21.4,12.4
1975-07-28,5.83,0.2,25.1,14.9
1975-07-29,6.04,5.0,22.4,17.2
1975-07-30,3.75,0.4,18.7,14.0
1975-07-31,6.04,0.0,19.4,9.2
1975-08-01,2.71,0.0,21.2,10.1
1975-08-02,3.33,0.0,19.5,10.6
1975-08-03,4.38,0.0,25.7,13.1
1975-08-04,3.83,0.1,25.8,16.5
1975-08-05,7.75,3.2,24.0,16.4
1975-08-06,9.46,0.0,22.3,13.8
1975-08-07,4.83,0.0,22.4,14.9
1975-08-08,4.83,12.0,22.5,12.8
1975-08-09,5.29,0.0,18.4,12.6
1975-08-10,0.92,0.0,20.2,14.9
1975-08-11,2.75,0.0,22.4,13.6
1975-08-12,5.88,0.0,18.8,12.7
1975-08-13,2.62,0.3,21.2,14.9
1975-08-14,3.25,0.0,21.7,12.1
1975-08-15,5.75,0.0,20.2,15.0
1975-08-16,9.54,0.0,20.6,12.8
1975-08-17,2.79,1.2,20.4,9.0
1975-08-18,5.33,2.1,19.4,15.0
1975-08-19,8.38,0.0,23.3,13.2
1975-08-20,11.5,2.4,21.2,14.4
1975-08-21,8.42,0.1,18.6,9.6
1975-08-22,9.42,0.3,18.3,11.7
1975-08-23,6.29,0.2,20.9,8.9
1975-08-24,6.34,0.0,21.0,10.9
1975-08-25,5.0,0.3,21.0,13.1
1975-08-26,2.46,0.0,24.6,13.0
1975-08-27,3.0,0.0,22.7,15.9
1975-08-28,3.17,0.0,23.6,13.6
1975-08-29,8.29,3.0,17.2,14.6
1975-08-30,14.0,0.4,16.8,9.4
1975-08-31,6.42,0.0,20.0,9.8
